reward,step_time,total_stopped,total_wait_time
22.0,4145.0,6,127.0
0.0,4150.0,7,143.0
-16.0,4155.0,6,146.0
-3.0,4160.0,5,110.0
36.0,4165.0,4,98.0
12.0,4170.0,8,126.0
-28.0,4175.0,14,184.0
-58.0,4180.0,16,214.0
-30.0,4185.0,14,209.0
5.0,4190.0,12,186.0
23.0,4195.0,6,168.0
18.0,4200.0,0,128.0
40.0,4205.0,6,138.0
-10.0,4210.0,6,142.0
-4.0,4215.0,3,99.0
43.0,4220.0,3,110.0
-11.0,4225.0,8,142.0
-32.0,4230.0,15,203.0
-61.0,4235.0,21,296.0
-93.0,4240.0,21,344.0
-48.0,4245.0,17,329.0
15.0,4250.0,13,392.0
-63.0,4255.0,11,455.0
-63.0,4260.0,8,435.0
20.0,4265.0,5,351.0
84.0,4270.0,8,381.0
-30.0,4275.0,10,424.0
-43.0,4280.0,9,406.0
18.0,4285.0,9,327.0
79.0,4290.0,3,293.0
34.0,4295.0,8,321.0
-28.0,4300.0,6,299.0
22.0,4305.0,4,212.0
87.0,4310.0,6,234.0
-22.0,4315.0,8,270.0
-36.0,4320.0,9,254.0
16.0,4325.0,7,152.0
102.0,4330.0,5,153.0
-1.0,4335.0,9,183.0
-30.0,4340.0,7,180.0
3.0,4345.0,4,133.0
47.0,4350.0,2,130.0
3.0,4355.0,7,156.0
-26.0,4360.0,14,212.0
-56.0,4365.0,15,240.0
-28.0,4370.0,14,223.0
17.0,4375.0,7,224.0
-1.0,4380.0,7,260.0
-36.0,4385.0,8,252.0
8.0,4390.0,4,200.0
52.0,4395.0,2,127.0
73.0,4400.0,3,128.0
-1.0,4405.0,7,157.0
-29.0,4410.0,9,164.0
-7.0,4415.0,6,126.0
38.0,4420.0,7,80.0
46.0,4425.0,1,76.0
4.0,4430.0,7,94.0
-18.0,4435.0,6,99.0
-5.0,4440.0,5,83.0
16.0,4445.0,3,94.0
-11.0,4450.0,10,132.0
-38.0,4455.0,10,147.0
